"Displacement:0","Displacement:1","Displacement:2","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.032109,0.10076,0,0.99998,0.00018675,-0.00042228,1.2658e-05,0,1.2617e-05,-9.6427e-08,0,0,0,0,1,0.2875,-2.2125,0,0
0.032109,0.10076,0,0.99998,0.00019547,-0.00047406,1.3235e-05,0,1.318e-05,-9.8247e-08,0,0,0,0,1,0.29,-2.21,0,0
0.032109,0.10076,0,0.99998,0.00020441,-0.00047406,1.3235e-05,0,1.318e-05,-9.8247e-08,0,0,0,0,1,0.2925,-2.2075,0,0
0.032108,0.10076,0,0.99998,0.00021334,-0.00050074,1.344e-05,0,1.3377e-05,-9.8725e-08,0,0,0,0,1,0.295,-2.205,0,0
0.032108,0.10076,0,0.99998,0.0002226,-0.00050074,1.344e-05,0,1.3377e-05,-9.8725e-08,0,0,0,0,1,0.2975,-2.2025,0,0
0.032108,0.10076,0,0.99998,0.00023186,-0.00055563,1.4011e-05,0,1.3929e-05,-9.584e-08,0,0,0,0,1,0.3,-2.2,0,0
0.032107,0.10076,0,0.99998,0.00024133,-0.00055563,1.4011e-05,0,1.3929e-05,-9.584e-08,0,0,0,0,1,0.3025,-2.1975,0,0
0.032107,0.10076,0,0.99997,0.0002508,-0.00055563,1.4011e-05,0,1.3929e-05,-9.584e-08,0,0,0,0,1,0.305,-2.195,0,0
0.032107,0.10076,0,0.99997,0.00026058,-0.00058385,1.4214e-05,0,1.4123e-05,-9.7659e-08,0,0,0,0,1,0.3075,-2.1925,0,0
0.032106,0.10076,0,0.99997,0.00027037,-0.00064181,1.478e-05,0,1.4667e-05,-9.366e-08,0,0,0,0,1,0.31,-2.19,0,0
0.032106,0.10076,0,0.99997,0.00028037,-0.00064181,1.478e-05,0,1.4667e-05,-9.366e-08,0,0,0,0,1,0.3125,-2.1875,0,0
0.032105,0.10076,0,0.99997,0.00029036,-0.00067158,1.4982e-05,0,1.4857e-05,-9.686e-08,0,0,0,0,1,0.315,-2.185,0,0
0.032105,0.10076,0,0.99997,0.00030067,-0.00067158,1.4982e-05,0,1.4857e-05,-9.686e-08,0,0,0,0,1,0.3175,-2.1825,0,0
0.032104,0.10076,0,0.99997,0.00031098,-0.0007326,1.5548e-05,0,1.5398e-05,-8.4462e-08,0,0,0,0,1,0.32,-2.18,0,0
0.032104,0.10076,0,0.99997,0.00032153,-0.0007326,1.5548e-05,0,1.5398e-05,-8.4462e-08,0,0,0,0,1,0.3225,-2.1775,0,0
0.032103,0.10076,0,0.99997,0.00033208,-0.00078128,3.1553e-05,0,3.1389e-05,-2.7269e-07,0,0,0,0,1,0.325,-2.175,0,0
0.032103,0.10076,0,0.99997,0.00034287,-0.0007797,1.5926e-05,0,1.5755e-05,-8.9712e-08,0,0,0,0,1,0.3275,-2.1725,0,0
0.032102,0.10076,0,0.99996,0.00035365,-0.00081175,1.612e-05,0,1.5934e-05,-8.9745e-08,0,0,0,0,1,0.33,-2.17,0,0
0.032102,0.10076,0,0.99996,0.00036474,-0.00081175,1.612e-05,0,1.5934e-05,-8.9745e-08,0,0,0,0,1,0.3325,-2.1675,0,0
0.032101,0.10077,0,0.99996,0.00037582,-0.00087732,1.6685e-05,0,1.6467e-05,-8.4308e-08,0,0,0,0,1,0.335,-2.165,0,0
0.032101,0.10077,0,0.99996,0.00038713,-0.00087732,1.6685e-05,0,1.6467e-05,-8.4308e-08,0,0,0,0,1,0.3375,-2.1625,0,0
0.0321,0.10077,0,0.99996,0.00039844,-0.00087732,1.6685e-05,0,1.6467e-05,-8.4308e-08,0,0,0,0,1,0.34,-2.16,0,0
0.0321,0.10077,0,0.99996,0.00041005,-0.00091088,1.6877e-05,0,1.6642e-05,-9.0235e-08,0,0,0,0,1,0.3425,-2.1575,0,0
0.032099,0.10077,0,0.99996,0.00042165,-0.00091088,1.6877e-05,0,1.6642e-05,-9.0235e-08,0,0,0,0,1,0.345,-2.155,0,0
0.032098,0.10077,0,0.99996,0.00043347,-0.00097946,1.7434e-05,0,1.7163e-05,-8.6345e-08,0,0,0,0,1,0.3475,-2.1525,0,0
0.032098,0.10077,0,0.99996,0.00044528,-0.0010145,1.7631e-05,0,1.7341e-05,-9.1653e-08,0,0,0,0,1,0.35,-2.15,0,0
0.032097,0.10077,0,0.99995,0.0004574,-0.0010145,1.7631e-05,0,1.7341e-05,-9.1653e-08,0,0,0,0,1,0.3525,-2.1475,0,0
0.032096,0.10077,0,0.99995,0.00046953,-0.0010861,1.8183e-05,0,1.7852e-05,-8.4025e-08,0,0,0,0,1,0.355,-2.145,0,0
0.032096,0.10077,0,0.99995,0.00048186,-0.0010861,1.8183e-05,0,1.7852e-05,-8.4025e-08,0,0,0,0,1,0.3575,-2.1425,0,0
0.032095,0.10077,0,0.99995,0.00049418,-0.0011227,1.8379e-05,0,1.8026e-05,-9.0361e-08,0,0,0,0,1,0.36,-2.14,0,0
