"Displacement:0","Displacement:1","Displacement:2","F33","J","Pressure","Nominal Stress:0","Nominal Stress:1","Nominal Stress:2","Nominal Stress:3","Nominal Stress:4","Nominal Stress:5","Nominal Stress:6","Nominal Stress:7","Nominal Stress:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.034872,0.10077,0,1,1,3.9899e-05,-0.00019798,6.2139e-05,0,6.2148e-05,-5.2388e-06,0,0,0,0,1,0.2475,-2.2525,0,0
0.034872,0.10077,0,1,1,4.3525e-05,-0.00037946,0.00014094,0,0.00014095,-1.5097e-05,0,0,0,0,1,0.25,-2.25,0,0
0.034872,0.10077,0,1,1,4.7987e-05,-0.0003249,7.4866e-05,0,7.4858e-05,-5.153e-06,0,0,0,0,1,0.2525,-2.2475,0,0
0.034872,0.10077,0,1,1,5.2449e-05,-0.0003249,7.4866e-05,0,7.4858e-05,-5.153e-06,0,0,0,0,1,0.255,-2.245,0,0
0.034871,0.10077,0,1,1,5.691e-05,-0.0003249,7.4866e-05,0,7.4858e-05,-5.153e-06,0,0,0,0,1,0.2575,-2.2425,0,0
0.034871,0.10077,0,1,1,6.1372e-05,-0.0003249,7.4866e-05,0,7.4858e-05,-5.153e-06,0,0,0,0,1,0.26,-2.24,0,0
0.034871,0.10077,0,1,1,6.5834e-05,-0.0003249,7.4866e-05,0,7.4858e-05,-5.153e-06,0,0,0,0,1,0.2625,-2.2375,0,0
0.034871,0.10077,0,1,1,7.0296e-05,-0.0003249,7.4866e-05,0,7.4858e-05,-5.153e-06,0,0,0,0,1,0.265,-2.235,0,0
0.034871,0.10077,0,1,1,7.4757e-05,-0.0003249,7.4866e-05,0,7.4858e-05,-5.153e-06,0,0,0,0,1,0.2675,-2.2325,0,0
0.034871,0.10077,0,1,1,7.9219e-05,-0.0003249,7.4866e-05,0,7.4858e-05,-5.153e-06,0,0,0,0,1,0.27,-2.23,0,0
0.03487,0.10077,0,1,1,8.3681e-05,-0.0003249,7.4866e-05,0,7.4858e-05,-5.153e-06,0,0,0,0,1,0.2725,-2.2275,0,0
0.03487,0.10077,0,1,1,8.8142e-05,-0.0005229,0.00016559,0,0.00016557,-1.4867e-05,0,0,0,0,1,0.275,-2.225,0,0
0.03487,0.10077,0,1,1,9.3424e-05,-0.00047519,8.7416e-05,0,8.7371e-05,-5.0602e-06,0,0,0,0,1,0.2775,-2.2225,0,0
0.03487,0.10077,0,1,1,9.8706e-05,-0.00047519,8.7416e-05,0,8.7371e-05,-5.0602e-06,0,0,0,0,1,0.28,-2.22,0,0
0.034869,0.10077,0,1.0001,1,0.00010399,-0.00047519,8.7416e-05,0,8.7371e-05,-5.0602e-06,0,0,0,0,1,0.2825,-2.2175,0,0
